#             eta             phi             dep             det    value      DetId
              -15               9               2              HB  0.91303   42008789
              -16               9               1              HB  1.18164   42004809
              -16               9               2              HB  1.26236   42008809
               -1              10               1              HB  0.99690   4200408A
               -2              10               1              HB  1.04775   4200410A
               -3              10               1              HB  1.03089   4200418A
               -4              10               1              HB  1.04748   4200420A
               -5              10               1              HB  1.05666   4200428A
               -6              10               1              HB  1.04478   4200430A
               -7              10               1              HB  0.99864   4200438A
               -8              10               1              HB  0.93313   4200440A
               -9              10               1              HB  1.07518   4200448A
              -10              10               1              HB  1.07687   4200450A
              -11              10               1              HB  0.98360   4200458A
              -12              10               1              HB  0.99567   4200460A
              -13              10               1              HB  0.99670   4200468A
              -14              10               1              HB  0.95589   4200470A
              -15              10               1              HB  0.95586   4200478A
              -15              10               2              HB  1.15085   4200878A
              -16              10               1              HB  1.02761   4200480A
              -16              10               2              HB  1.15409   4200880A
               -1              11               1              HB  1.10931   4200408B
               -2              11               1              HB  1.05979   4200410B
               -3              11               1              HB  1.08825   4200418B
               -4              11               1              HB  1.09613   4200420B
               -5              11               1              HB  1.12241   4200428B
               -6              11               1              HB  1.14225   4200430B
               -7              11               1              HB  1.09658   4200438B
               -8              11               1              HB  1.11862   4200440B
               -9              11               1              HB  1.15006   4200448B
              -10              11               1              HB  1.08080   4200450B
              -11              11               1              HB  1.04116   4200458B
              -12              11               1              HB  1.11540   4200460B
              -13              11               1              HB  1.13291   4200468B
              -14              11               1              HB  1.10422   4200470B
              -15              11               1              HB  1.21797   4200478B
              -15              11               2              HB  1.22841   4200878B
              -16              11               1              HB  1.13954   4200480B
              -16              11               2              HB  1.33211   4200880B
               -1              12               1              HB  1.08106   4200408C
               -2              12               1              HB  1.08443   4200410C
               -3              12               1              HB  1.06584   4200418C
               -4              12               1              HB  1.10461   4200420C
               -5              12               1              HB  1.06996   4200428C
               -6              12               1              HB  1.05624   4200430C
               -7              12               1              HB  1.09367   4200438C
               -8              12               1              HB  1.12246   4200440C
               -9              12               1              HB  1.02588   4200448C
              -10              12               1              HB  1.07018   4200450C
              -11              12               1              HB  1.11782   4200458C
              -12              12               1              HB  1.13915   4200460C
              -13              12               1              HB  1.16105   4200468C
              -14              12               1              HB  1.08435   4200470C
              -15              12               1              HB  1.06858   4200478C
              -15              12               2              HB  1.03919   4200878C
              -16              12               1              HB  1.29126   4200480C
              -16              12               2              HB  1.16555   4200880C
               -1              13               1              HB  1.05968   4200408D
               -2              13               1              HB  1.14182   4200410D
               -3              13               1              HB  1.10016   4200418D
               -4              13               1              HB  1.08065   4200420D
               -5              13               1              HB  1.04898   4200428D
               -6              13               1              HB  1.07078   4200430D
               -7              13               1              HB  1.07782   4200438D
               -8              13               1              HB  1.13139   4200440D
               -9              13               1              HB  1.11837   4200448D
              -10              13               1              HB  1.13935   4200450D
              -11              13               1              HB  1.12862   4200458D
              -12              13               1              HB  1.18025   4200460D
              -13              13               1              HB  0.95459   4200468D
              -14              13               1              HB  1.05154   4200470D
              -15              13               1              HB  1.06130   4200478D
              -15              13               2              HB  0.80407   4200878D
              -16              13               1              HB  1.20918   4200480D
              -16              13               2              HB  1.27005   4200880D
               -1              14               1              HB  0.98623   4200408E
               -2              14               1              HB  0.96867   4200410E
               -3              14               1              HB  0.94779   4200418E
               -4              14               1              HB  0.99652   4200420E
               -5              14               1              HB  1.04054   4200428E
               -6              14               1              HB  1.02889   4200430E
               -7              14               1              HB  0.92656   4200438E
               -8              14               1              HB  0.98937   4200440E
               -9              14               1              HB  1.01232   4200448E
              -10              14               1              HB  1.02724   4200450E
              -11              14               1              HB  1.04360   4200458E
              -12              14               1              HB  0.99589   4200460E
              -13              14               1              HB  1.08192   4200468E
              -14              14               1              HB  1.04930   4200470E
              -15              14               1              HB  1.05041   4200478E
              -15              14               2              HB  1.10839   4200878E
              -16              14               1              HB  1.04625   4200480E
              -16              14               2              HB  1.26477   4200880E
               -1              15               1              HB  1.08873   4200408F
               -2              15               1              HB  1.09801   4200410F
               -3              15               1              HB  1.08556   4200418F
               -4              15               1              HB  1.07075   4200420F
               -5              15               1              HB  1.06061   4200428F
               -6              15               1              HB  1.09036   4200430F
               -7              15               1              HB  1.05807   4200438F
               -8              15               1              HB  1.09852   4200440F
               -9              15               1              HB  1.09091   4200448F
              -10              15               1              HB  1.07284   4200450F
              -11              15               1              HB  1.08820   4200458F
              -12              15               1              HB  1.06193   4200460F
              -13              15               1              HB  1.08937   4200468F
              -14              15               1              HB  1.04831   4200470F
              -15              15               1              HB  1.06347   4200478F
              -15              15               2              HB  1.18549   4200878F
              -16              15               1              HB  1.14556   4200480F
              -16              15               2              HB  1.23793   4200880F
               -1              16               1              HB  1.12692   42004090
               -2              16               1              HB  1.10731   42004110
               -3              16               1              HB  1.10373   42004190
               -4              16               1              HB  1.13334   42004210
               -5              16               1              HB  1.11861   42004290
               -6              16               1              HB  1.11383   42004310
               -7              16               1              HB  1.10040   42004390
               -8              16               1              HB  1.14761   42004410
               -9              16               1              HB  1.17904   42004490
              -10              16               1              HB  1.13475   42004510
              -11              16               1              HB  1.17398   42004590
              -12              16               1              HB  1.15261   42004610
              -13              16               1              HB  1.24222   42004690
              -14              16               1              HB  1.13406   42004710
              -15              16               1              HB  1.11957   42004790
              -15              16               2              HB  1.02283   42008790
              -16              16               1              HB  1.30112   42004810
              -16              16               2              HB  1.20494   42008810
               -1              17               1              HB  1.21327   42004091
               -2              17               1              HB  1.17842   42004111
               -3              17               1              HB  1.18826   42004191
               -4              17               1              HB  1.21626   42004211
               -5              17               1              HB  1.16376   42004291
               -6              17               1              HB  1.15762   42004311
               -7              17               1              HB  1.12704   42004391
               -8              17               1              HB  1.19408   42004411
               -9              17               1              HB  1.17124   42004491
              -10              17               1              HB  1.17822   42004511
              -11              17               1              HB  1.22847   42004591
              -12              17               1              HB  1.21634   42004611
              -13              17               1              HB  1.15746   42004691
              -14              17               1              HB  1.18844   42004711
              -15              17               1              HB  1.19850   42004791
              -15              17               2              HB  1.27525   42008791
              -16              17               1              HB  1.22647   42004811
              -16              17               2              HB  1.34672   42008811
               -1              18               1              HB  1.11854   42004092
               -2              18               1              HB  1.14086   42004112
               -3              18               1              HB  1.08651   42004192
               -4              18               1              HB  1.09173   42004212
               -5              18               1              HB  1.11473   42004292
               -6              18               1              HB  1.10650   42004312
               -7              18               1              HB  1.06224   42004392
               -8              18               1              HB  1.08723   42004412
               -9              18               1              HB  1.10072   42004492
              -10              18               1              HB  1.06797   42004512
              -11              18               1              HB  1.06018   42004592
              -12              18               1              HB  1.08793   42004612
              -13              18               1              HB  1.18775   42004692
              -14              18               1              HB  1.08831   42004712
              -15              18               1              HB  1.10939   42004792
              -15              18               2              HB  1.23091   42008792
              -16              18               1              HB  1.19404   42004812
              -16              18               2              HB  1.21753   42008812
               -1              19               1              HB  1.06347   42004093
               -2              19               1              HB  1.09016   42004113
               -3              19               1              HB  1.05260   42004193
               -4              19               1              HB  1.07309   42004213
               -5              19               1              HB  1.05092   42004293
               -6              19               1              HB  1.07164   42004313
               -7              19               1              HB  1.02364   42004393
               -8              19               1              HB  1.11187   42004413
               -9              19               1              HB  1.09409   42004493
              -10              19               1              HB  1.04923   42004513
              -11              19               1              HB  1.06265   42004593
              -12              19               1              HB  1.06925   42004613
              -13              19               1              HB  1.08954   42004693
              -14              19               1              HB  1.05135   42004713
              -15              19               1              HB  1.08736   42004793
              -15              19               2              HB  1.20432   42008793
              -16              19               1              HB  1.19704   42004813
              -16              19               2              HB  1.21893   42008813
               -1              20               1              HB  1.16764   42004094
               -2              20               1              HB  1.18762   42004114
               -3              20               1              HB  1.10795   42004194
               -4              20               1              HB  1.11837   42004214
               -5              20               1              HB  1.11977   42004294
               -6              20               1              HB  1.16623   42004314
               -7              20               1              HB  1.13536   42004394
               -8              20               1              HB  1.15436   42004414
               -9              20               1              HB  1.21809   42004494
              -10              20               1              HB  1.19711   42004514
              -11              20               1              HB  1.12326   42004594
              -12              20               1              HB  1.12416   42004614
              -13              20               1              HB  1.19803   42004694
              -14              20               1              HB  1.35868   42004714
              -15              20               1              HB  1.18411   42004794
              -15              20               2              HB  1.11000   42008794
              -16              20               1              HB  1.29410   42004814
              -16              20               2              HB  1.38059   42008814
               -1              21               1              HB  1.13216   42004095
               -2              21               1              HB  1.12505   42004115
               -3              21               1              HB  1.14939   42004195
               -4              21               1              HB  1.13619   42004215
               -5              21               1              HB  1.16414   42004295
               -6              21               1              HB  1.21407   42004315
               -7              21               1              HB  1.18907   42004395
               -8              21               1              HB  1.22800   42004415
               -9              21               1              HB  1.11456   42004495
              -10              21               1              HB  1.13619   42004515
              -11              21               1              HB  1.13451   42004595
              -12              21               1              HB  1.10300   42004615
              -13              21               1              HB  1.16335   42004695
              -14              21               1              HB  1.12676   42004715
              -15              21               1              HB  1.11583   42004795
              -15              21               2              HB  1.05227   42008795
              -16              21               1              HB  1.21549   42004815
              -16              21               2              HB  1.33559   42008815
               -1              22               1              HB  1.04938   42004096
               -2              22               1              HB  1.06455   42004116
               -3              22               1              HB  1.07025   42004196
               -4              22               1              HB  1.05731   42004216
               -5              22               1              HB  1.03720   42004296
               -6              22               1              HB  1.03113   42004316
               -7              22               1              HB  1.05274   42004396
               -8              22               1              HB  1.00444   42004416
               -9              22               1              HB  1.03978   42004496
              -10              22               1              HB  1.00769   42004516
              -11              22               1              HB  1.01101   42004596
              -12              22               1              HB  1.05435   42004616
              -13              22               1              HB  1.08595   42004696
              -14              22               1              HB  1.07027   42004716
              -15              22               1              HB  1.04857   42004796
              -15              22               2              HB  1.21414   42008796
              -16              22               1              HB  1.22654   42004816
              -16              22               2              HB  1.23915   42008816
               -1              23               1              HB  1.10802   42004097
               -2              23               1              HB  1.17111   42004117
               -3              23               1              HB  1.09891   42004197
               -4              23               1              HB  1.16464   42004217
               -5              23               1              HB  1.16134   42004297
               -6              23               1              HB  1.18493   42004317
               -7              23               1              HB  1.17721   42004397
               -8              23               1              HB  1.15310   42004417
               -9              23               1              HB  1.16052   42004497
              -10              23               1              HB  1.20159   42004517
              -11              23               1              HB  1.11400   42004597
              -12              23               1              HB  1.16337   42004617
              -13              23               1              HB  1.26221   42004697
              -14              23               1              HB  1.11864   42004717
              -15              23               1              HB  1.14145   42004797
              -15              23               2              HB  1.34772   42008797
              -16              23               1              HB  1.17071   42004817
              -16              23               2              HB  1.28449   42008817
               -1              24               1              HB  1.06861   42004098
               -2              24               1              HB  1.13355   42004118
               -3              24               1              HB  0.98691   42004198
               -4              24               1              HB  1.11931   42004218
               -5              24               1              HB  1.00168   42004298
               -6              24               1              HB  1.08400   42004318
               -7              24               1              HB  1.05557   42004398
               -8              24               1              HB  1.15233   42004418
               -9              24               1              HB  1.10329   42004498
              -10              24               1              HB  1.08543   42004518
              -11              24               1              HB  1.11851   42004598
              -12              24               1              HB  1.20811   42004618
              -13              24               1              HB  1.19032   42004698
