#             eta             phi             dep             det    value      DetId
               13              38               1              HB  0.96720   420066A6
               14              38               1              HB  0.93852   42006726
               15              38               1              HB  1.01271   420067A6
               15              38               2              HB  1.17999   4200A7A6
               16              38               1              HB  1.05232   42006826
               16              38               2              HB  1.08525   4200A826
                1              39               1              HB  0.95678   420060A7
                2              39               1              HB  0.93572   42006127
                3              39               1              HB  0.95146   420061A7
                4              39               1              HB  0.96224   42006227
                5              39               1              HB  0.98201   420062A7
                6              39               1              HB  0.95105   42006327
                7              39               1              HB  0.96892   420063A7
                8              39               1              HB  0.95281   42006427
                9              39               1              HB  0.98678   420064A7
               10              39               1              HB  0.96061   42006527
               11              39               1              HB  0.98170   420065A7
               12              39               1              HB  1.01943   42006627
               13              39               1              HB  0.95146   420066A7
               14              39               1              HB  0.92711   42006727
               15              39               1              HB  0.97332   420067A7
               15              39               2              HB  1.01273   4200A7A7
               16              39               1              HB  1.10155   42006827
               16              39               2              HB  1.06282   4200A827
                1              40               1              HB  1.09320   420060A8
                2              40               1              HB  1.04822   42006128
                3              40               1              HB  1.03673   420061A8
                4              40               1              HB  1.02948   42006228
                5              40               1              HB  1.05753   420062A8
                6              40               1              HB  1.03853   42006328
                7              40               1              HB  1.03323   420063A8
                8              40               1              HB  1.06052   42006428
                9              40               1              HB  1.03754   420064A8
               10              40               1              HB  1.06892   42006528
               11              40               1              HB  1.06741   420065A8
               12              40               1              HB  1.09101   42006628
               13              40               1              HB  1.14028   420066A8
               14              40               1              HB  1.09533   42006728
               15              40               1              HB  1.08940   420067A8
               15              40               2              HB  0.96380   4200A7A8
               16              40               1              HB  1.11463   42006828
               16              40               2              HB  1.12469   4200A828
                1              41               1              HB  1.00316   420060A9
                2              41               1              HB  1.04778   42006129
                3              41               1              HB  1.01494   420061A9
                4              41               1              HB  1.01806   42006229
                5              41               1              HB  0.98534   420062A9
                6              41               1              HB  1.01949   42006329
                7              41               1              HB  1.01782   420063A9
                8              41               1              HB  1.07249   42006429
                9              41               1              HB  1.16247   420064A9
               10              41               1              HB  1.01645   42006529
               11              41               1              HB  1.02492   420065A9
               12              41               1              HB  1.04752   42006629
               13              41               1              HB  1.05997   420066A9
               14              41               1              HB  1.01042   42006729
               15              41               1              HB  0.90549   420067A9
               15              41               2              HB  0.89116   4200A7A9
               16              41               1              HB  1.05558   42006829
               16              41               2              HB  1.12736   4200A829
                1              42               1              HB  0.99174   420060AA
                2              42               1              HB  1.05914   4200612A
                3              42               1              HB  0.95818   420061AA
                4              42               1              HB  0.96374   4200622A
                5              42               1              HB  1.04127   420062AA
                6              42               1              HB  1.02067   4200632A
                7              42               1              HB  1.02391   420063AA
                8              42               1              HB  0.92051   4200642A
                9              42               1              HB  1.08970   420064AA
               10              42               1              HB  0.98052   4200652A
               11              42               1              HB  0.89330   420065AA
               12              42               1              HB  1.01688   4200662A
               13              42               1              HB  0.89317   420066AA
               14              42               1              HB  0.91741   4200672A
               15              42               1              HB  1.00541   420067AA
               15              42               2              HB  1.25944   4200A7AA
               16              42               1              HB  1.07682   4200682A
               16              42               2              HB  1.09419   4200A82A
                1              43               1              HB  1.01937   420060AB
                2              43               1              HB  0.90061   4200612B
                3              43               1              HB  0.83148   420061AB
                4              43               1              HB  1.00893   4200622B
                5              43               1              HB  0.85846   420062AB
                6              43               1              HB  0.92295   4200632B
                7              43               1              HB  0.91803   420063AB
                8              43               1              HB  0.99646   4200642B
                9              43               1              HB  0.93843   420064AB
               10              43               1              HB  0.94146   4200652B
               11              43               1              HB  0.91403   420065AB
               12              43               1              HB  1.06686   4200662B
               13              43               1              HB  0.98786   420066AB
               14              43               1              HB  1.10129   4200672B
               15              43               1              HB  1.06722   420067AB
               15              43               2              HB  1.19149   4200A7AB
               16              43               1              HB  1.03363   4200682B
               16              43               2              HB  1.08188   4200A82B
                1              44               1              HB  1.07586   420060AC
                2              44               1              HB  1.03197   4200612C
                3              44               1              HB  1.00329   420061AC
                4              44               1              HB  0.96884   4200622C
                5              44               1              HB  1.04120   420062AC
                6              44               1              HB  1.01285   4200632C
                7              44               1              HB  1.03026   420063AC
                8              44               1              HB  1.04308   4200642C
                9              44               1              HB  1.04095   420064AC
               10              44               1              HB  1.05294   4200652C
               11              44               1              HB  1.03345   420065AC
               12              44               1              HB  1.04874   4200662C
               13              44               1              HB  1.14955   420066AC
               14              44               1              HB  1.02592   4200672C
               15              44               1              HB  0.98615   420067AC
               15              44               2              HB  0.95549   4200A7AC
               16              44               1              HB  1.05092   4200682C
               16              44               2              HB  1.16123   4200A82C
                1              45               1              HB  1.14616   420060AD
                2              45               1              HB  1.13502   4200612D
                3              45               1              HB  1.13333   420061AD
                4              45               1              HB  1.09635   4200622D
                5              45               1              HB  1.11786   420062AD
                6              45               1              HB  1.12005   4200632D
                7              45               1              HB  1.13670   420063AD
                8              45               1              HB  1.13263   4200642D
                9              45               1              HB  1.12945   420064AD
               10              45               1              HB  1.13666   4200652D
               11              45               1              HB  1.11516   420065AD
               12              45               1              HB  1.08709   4200662D
               13              45               1              HB  1.13576   420066AD
               14              45               1              HB  1.07551   4200672D
               15              45               1              HB  1.17169   420067AD
               15              45               2              HB  0.97844   4200A7AD
               16              45               1              HB  1.20275   4200682D
               16              45               2              HB  1.19573   4200A82D
                1              46               1              HB  1.05155   420060AE
                2              46               1              HB  1.01649   4200612E
                3              46               1              HB  1.02270   420061AE
                4              46               1              HB  1.11871   4200622E
                5              46               1              HB  1.06595   420062AE
                6              46               1              HB  1.07627   4200632E
                7              46               1              HB  1.06439   420063AE
                8              46               1              HB  0.98995   4200642E
                9              46               1              HB  1.13651   420064AE
               10              46               1              HB  1.07925   4200652E
               11              46               1              HB  1.04794   420065AE
               12              46               1              HB  0.97544   4200662E
               13              46               1              HB  1.16677   420066AE
               14              46               1              HB  1.05075   4200672E
               15              46               1              HB  0.93323   420067AE
               15              46               2              HB  1.03181   4200A7AE
               16              46               1              HB  1.24367   4200682E
               16              46               2              HB  1.02307   4200A82E
                1              47               1              HB  0.96761   420060AF
                2              47               1              HB  1.05459   4200612F
                3              47               1              HB  1.06968   420061AF
                4              47               1              HB  0.98594   4200622F
                5              47               1              HB  1.05790   420062AF
                6              47               1              HB  1.01234   4200632F
                7              47               1              HB  1.02757   420063AF
                8              47               1              HB  0.97130   4200642F
                9              47               1              HB  1.02569   420064AF
               10              47               1              HB  1.01024   4200652F
               11              47               1              HB  1.00186   420065AF
               12              47               1              HB  1.00001   4200662F
               13              47               1              HB  1.09207   420066AF
               14              47               1              HB  1.04724   4200672F
               15              47               1              HB  1.02795   420067AF
               15              47               2              HB  1.35197   4200A7AF
               16              47               1              HB  1.25154   4200682F
               16              47               2              HB  1.20327   4200A82F
                1              48               1              HB  1.17630   420060B0
                2              48               1              HB  1.16752   42006130
                3              48               1              HB  1.12210   420061B0
                4              48               1              HB  1.11917   42006230
                5              48               1              HB  1.09413   420062B0
                6              48               1              HB  1.13390   42006330
                7              48               1              HB  1.15091   420063B0
                8              48               1              HB  1.16684   42006430
                9              48               1              HB  1.07555   420064B0
               10              48               1              HB  1.11783   42006530
               11              48               1              HB  1.14618   420065B0
               12              48               1              HB  1.11164   42006630
               13              48               1              HB  1.13668   420066B0
               14              48               1              HB  1.12964   42006730
               15              48               1              HB  1.19422   420067B0
               15              48               2              HB  1.07749   4200A7B0
               16              48               1              HB  1.22418   42006830
               16              48               2              HB  1.26651   4200A830
                1              49               1              HB  1.05047   420060B1
                2              49               1              HB  1.06238   42006131
                3              49               1              HB  1.06296   420061B1
                4              49               1              HB  1.04310   42006231
                5              49               1              HB  1.07454   420062B1
                6              49               1              HB  1.00888   42006331
                7              49               1              HB  1.04396   420063B1
                8              49               1              HB  1.05831   42006431
                9              49               1              HB  1.00776   420064B1
               10              49               1              HB  1.01006   42006531
               11              49               1              HB  1.03183   420065B1
               12              49               1              HB  1.02311   42006631
               13              49               1              HB  0.93914   420066B1
               14              49               1              HB  0.84052   42006731
               15              49               1              HB  0.89149   420067B1
               15              49               2              HB  0.96712   4200A7B1
               16              49               1              HB  1.24980   42006831
               16              49               2              HB  1.19798   4200A831
                1              50               1              HB  0.92235   420060B2
                2              50               1              HB  0.92985   42006132
                3              50               1              HB  0.93086   420061B2
                4              50               1              HB  0.90463   42006232
                5              50               1              HB  0.96236   420062B2
                6              50               1              HB  0.92171   42006332
                7              50               1              HB  0.92595   420063B2
                8              50               1              HB  0.93613   42006432
                9              50               1              HB  0.93578   420064B2
               10              50               1              HB  0.93949   42006532
               11              50               1              HB  0.90509   420065B2
               12              50               1              HB  0.96144   42006632
               13              50               1              HB  1.00043   420066B2
               14              50               1              HB  0.95261   42006732
               15              50               1              HB  0.98321   420067B2
               15              50               2              HB  1.11795   4200A7B2
               16              50               1              HB  1.04093   42006832
               16              50               2              HB  1.15657   4200A832
                1              51               1              HB  0.81042   420060B3
                2              51               1              HB  0.82357   42006133
                3              51               1              HB  0.81455   420061B3
                4              51               1              HB  0.82532   42006233
                5              51               1              HB  0.85728   420062B3
                6              51               1              HB  0.82097   42006333
                7              51               1              HB  0.81847   420063B3
                8              51               1              HB  0.84613   42006433
                9              51               1              HB  0.83291   420064B3
               10              51               1              HB  0.83990   42006533
               11              51               1              HB  0.78626   420065B3
               12              51               1              HB  0.78115   42006633
               13              51               1              HB  0.87290   420066B3
               14              51               1              HB  0.85835   42006733
               15              51               1              HB  0.82271   420067B3
               15              51               2              HB  0.96083   4200A7B3
               16              51               1              HB  0.87272   42006833
               16              51               2              HB  0.92732   4200A833
                1              52               1              HB  1.02219   420060B4
                2              52               1              HB  1.01830   42006134
                3              52               1              HB  1.01647   420061B4
                4              52               1              HB  0.96724   42006234
                5              52               1              HB  0.95144   420062B4
                6              52               1              HB  0.98834   42006334
                7              52               1              HB  1.03626   420063B4
                8              52               1              HB  0.95932   42006434
                9              52               1              HB  1.05975   420064B4
               10              52               1              HB  0.99595   42006534
               11              52               1              HB  0.98662   420065B4
               12              52               1              HB  0.94791   42006634
               13              52               1              HB  1.03122   420066B4
               14              52               1              HB  0.94020   42006734
               15              52               1              HB  0.97293   420067B4
               15              52               2              HB  0.88706   4200A7B4
               16              52               1              HB  0.99875   42006834
               16              52               2              HB  1.16825   4200A834
                1              53               1              HB  1.13241   420060B5
                2              53               1              HB  1.09445   42006135
                3              53               1              HB  1.10553   420061B5
                4              53               1              HB  1.08891   42006235
                5              53               1              HB  1.09025   420062B5
                6              53               1              HB  1.06254   42006335
                7              53               1              HB  1.17595   420063B5
                8              53               1              HB  1.11104   42006435
                9              53               1              HB  1.00761   420064B5
               10              53               1              HB  1.11840   42006535
               11              53               1              HB  1.11081   420065B5
               12              53               1              HB  1.14265   42006635
               13              53               1              HB  1.18221   420066B5
               14              53               1              HB  1.11682   42006735
               15              53               1              HB  1.10596   420067B5
               15              53               2              HB  1.16102   4200A7B5
               16              53               1              HB  1.32244   42006835
               16              53               2              HB  1.20812   4200A835
                1              54               1              HB  1.12845   420060B6
                2              54               1              HB  1.04094   42006136
                3              54               1              HB  0.94877   420061B6
                4              54               1              HB  0.99870   42006236
                5              54               1              HB  1.05937   420062B6
                6              54               1              HB  0.96426   42006336
                7              54               1              HB  0.90034   420063B6
                8              54               1              HB  0.98798   42006436
                9              54               1              HB  0.89570   420064B6
               10              54               1              HB  0.92115   42006536
               11              54               1              HB  0.99687   420065B6
               12              54               1              HB  1.00858   42006636
               13              54               1              HB  0.90127   420066B6
               14              54               1              HB  0.92362   42006736
               15              54               1              HB  1.11669   420067B6
               15              54               2              HB  1.09176   4200A7B6
               16              54               1              HB  1.13307   42006836
               16              54               2              HB  1.07625   4200A836
                1              55               1              HB  1.03630   420060B7
                2              55               1              HB  1.04476   42006137
                3              55               1              HB  1.08461   420061B7
                4              55               1              HB  1.01209   42006237
                5              55               1              HB  1.05468   420062B7
                6              55               1              HB  0.97648   42006337
                7              55               1              HB  0.99604   420063B7
                8              55               1              HB  0.96445   42006437
                9              55               1              HB  1.04735   420064B7
               10              55               1              HB  0.98733   42006537
               11              55               1              HB  0.99646   420065B7
               12              55               1              HB  1.02034   42006637
               13              55               1              HB  1.12143   420066B7
               14              55               1              HB  1.08198   42006737
               15              55               1              HB  1.14054   420067B7
               15              55               2              HB  1.25264   4200A7B7
               16              55               1              HB  1.22569   42006837
               16              55               2              HB  1.26052   4200A837
                1              56               1              HB  1.07698   420060B8
                2              56               1              HB  1.07906   42006138
                3              56               1              HB  1.12466   420061B8
                4              56               1              HB  1.08498   42006238
                5              56               1              HB  1.10680   420062B8
                6              56               1              HB  1.06081   42006338
                7              56               1              HB  1.12868   420063B8
                8              56               1              HB  1.09742   42006438
                9              56               1              HB  1.12008   420064B8
               10              56               1              HB  1.09606   42006538
               11              56               1              HB  1.10137   420065B8
               12              56               1              HB  1.09853   42006638
               13              56               1              HB  1.11654   420066B8
               14              56               1              HB  1.16864   42006738
               15              56               1              HB  1.17170   420067B8
               15              56               2              HB  1.11191   4200A7B8
               16              56               1              HB  1.28507   42006838
               16              56               2              HB  1.22801   4200A838
                1              57               1              HB  1.06352   420060B9
                2              57               1              HB  1.08659   42006139
                3              57               1              HB  1.09193   420061B9
                4              57               1              HB  1.07228   42006239
                5              57               1              HB  1.05946   420062B9
                6              57               1              HB  1.07107   42006339
                7              57               1              HB  1.12191   420063B9
                8              57               1              HB  1.09933   42006439
                9              57               1              HB  1.06742   420064B9
               10              57               1              HB  1.07174   42006539
               11              57               1              HB  1.07025   420065B9
               12              57               1              HB  1.12559   42006639
               13              57               1              HB  1.21368   420066B9
               14              57               1              HB  1.09272   42006739
               15              57               1              HB  1.16469   420067B9
               15              57               2              HB  1.17387   4200A7B9
               16              57               1              HB  1.26596   42006839
               16              57               2              HB  1.14833   4200A839
                1              58               1              HB  0.94150   420060BA
                2              58               1              HB  0.95260   4200613A
                3              58               1              HB  0.91360   420061BA
                4              58               1              HB  0.92613   4200623A
                5              58               1              HB  0.94903   420062BA
                6              58               1              HB  0.96769   4200633A
                7              58               1              HB  0.94959   420063BA
                8              58               1              HB  0.94556   4200643A
                9              58               1              HB  0.98955   420064BA
               10              58               1              HB  0.96059   4200653A
               11              58               1              HB  0.93209   420065BA
               12              58               1              HB  0.99337   4200663A
               13              58               1              HB  0.95534   420066BA
               14              58               1              HB  0.96116   4200673A
               15              58               1              HB  0.91560   420067BA
               15              58               2              HB  1.09818   4200A7BA
               16              58               1              HB  1.06509   4200683A
               16              58               2              HB  1.07216   4200A83A
                1              59               1              HB  0.95036   420060BB
                2              59               1              HB  0.95880   4200613B
                3              59               1              HB  0.99269   420061BB
                4              59               1              HB  0.95835   4200623B
                5              59               1              HB  1.03739   420062BB
                6              59               1              HB  1.01234   4200633B
                7              59               1              HB  1.00243   420063BB
                8              59               1              HB  0.98078   4200643B
                9              59               1              HB  1.09434   420064BB
               10              59               1              HB  0.99200   4200653B
               11              59               1              HB  0.98055   420065BB
               12              59               1              HB  1.01267   4200663B
               13              59               1              HB  1.02744   420066BB
               14              59               1              HB  0.99076   4200673B
               15              59               1              HB  1.01122   420067BB
               15              59               2              HB  1.15155   4200A7BB
               16              59               1              HB  1.10071   4200683B
               16              59               2              HB  1.10921   4200A83B
                1              60               1              HB  1.05535   420060BC
                2              60               1              HB  1.09406   4200613C
                3              60               1              HB  1.09325   420061BC
                4              60               1              HB  1.04209   4200623C
                5              60               1              HB  1.09259   420062BC
                6              60               1              HB  1.19020   4200633C
                7              60               1              HB  1.11455   420063BC
                8              60               1              HB  1.06310   4200643C
                9              60               1              HB  1.21263   420064BC
               10              60               1              HB  1.08597   4200653C
               11              60               1              HB  1.09912   420065BC
               12              60               1              HB  1.14129   4200663C
               13              60               1              HB  1.24509   420066BC
               14              60               1              HB  1.18033   4200673C
               15              60               1              HB  1.35704   420067BC
               15              60               2              HB  1.61061   4200A7BC
               16              60               1              HB  1.19967   4200683C
               16              60               2              HB  1.26674   4200A83C
                1              61               1              HB  1.06598   420060BD
                2              61               1              HB  1.06106   4200613D
                3              61               1              HB  1.02419   420061BD
                4              61               1              HB  0.99143   4200623D
                5              61               1              HB  1.06295   420062BD
                6              61               1              HB  1.02891   4200633D
                7              61               1              HB  1.09281   420063BD
                8              61               1              HB  1.05470   4200643D
                9              61               1              HB  1.01503   420064BD
               10              61               1              HB  1.00269   4200653D
               11              61               1              HB  1.05113   420065BD
               12              61               1              HB  1.05020   4200663D
               13              61               1              HB  1.08030   420066BD
               14              61               1              HB  1.04635   4200673D
               15              61               1              HB  1.04714   420067BD
               15              61               2              HB  1.04433   4200A7BD
               16              61               1              HB  1.20160   4200683D
               16              61               2              HB  1.24327   4200A83D
                1              62               1              HB  0.98334   420060BE
                2              62               1              HB  0.99801   4200613E
                3              62               1              HB  1.08081   420061BE
                4              62               1              HB  0.97976   4200623E
                5              62               1              HB  0.97634   420062BE
                6              62               1              HB  0.98122   4200633E
                7              62               1              HB  1.06076   420063BE
                8              62               1              HB  0.99799   4200643E
                9              62               1              HB  0.94014   420064BE
               10              62               1              HB  0.93580   4200653E
               11              62               1              HB  1.06310   420065BE
               12              62               1              HB  0.99920   4200663E
               13              62               1              HB  1.00103   420066BE
               14              62               1              HB  0.97194   4200673E
               15              62               1              HB  1.38770   420067BE
               15              62               2              HB  1.76931   4200A7BE
               16              62               1              HB  1.76108   4200683E
               16              62               2              HB  1.58111   4200A83E
                1              63               1              HB  0.98254   420060BF
                2              63               1              HB  0.99013   4200613F
                3              63               1              HB  0.98228   420061BF
                4              63               1              HB  0.94238   4200623F
                5              63               1              HB  0.97639   420062BF
                6              63               1              HB  0.93299   4200633F
                7              63               1              HB  0.93285   420063BF
                8              63               1              HB  0.94574   4200643F
                9              63               1              HB  1.01342   420064BF
               10              63               1              HB  0.95265   4200653F
               11              63               1              HB  0.92432   420065BF
               12              63               1              HB  0.98362   4200663F
               13              63               1              HB  1.02461   420066BF
               14              63               1              HB  1.00888   4200673F
               15              63               1              HB  1.01088   420067BF
               15              63               2              HB  1.19934   4200A7BF
               16              63               1              HB  1.25680   4200683F
               16              63               2              HB  1.07395   4200A83F
                1              64               1              HB  1.13072   420060C0
                2              64               1              HB  1.13371   42006140
                3              64               1              HB  1.10836   420061C0
                4              64               1              HB  1.07136   42006240
                5              64               1              HB  1.06407   420062C0
                6              64               1              HB  1.03986   42006340
                7              64               1              HB  1.11689   420063C0
                8              64               1              HB  1.11589   42006440
                9              64               1              HB  1.11497   420064C0
               10              64               1              HB  1.12960   42006540
               11              64               1              HB  1.14798   420065C0
               12              64               1              HB  1.14929   42006640
               13              64               1              HB  1.28959   420066C0
               14              64               1              HB  1.24745   42006740
               15              64               1              HB  1.28935   420067C0
               15              64               2              HB  1.29889   4200A7C0
               16              64               1              HB  1.24805   42006840
               16              64               2              HB  1.32198   4200A840
                1              65               1              HB  1.01920   420060C1
                2              65               1              HB  1.04499   42006141
                3              65               1              HB  1.01258   420061C1
                4              65               1              HB  1.03198   42006241
                5              65               1              HB  0.98057   420062C1
                6              65               1              HB  0.97359   42006341
                7              65               1              HB  1.03034   420063C1
                8              65               1              HB  0.99519   42006441
                9              65               1              HB  1.03073   420064C1
               10              65               1              HB  0.98196   42006541
               11              65               1              HB  1.01936   420065C1
               12              65               1              HB  1.03262   42006641
               13              65               1              HB  1.11099   420066C1
               14              65               1              HB  0.96521   42006741
               15              65               1              HB  1.00922   420067C1
               15              65               2              HB  1.05299   4200A7C1
               16              65               1              HB  1.12717   42006841
               16              65               2              HB  1.11522   4200A841
                1              66               1              HB  1.04868   420060C2
                2              66               1              HB  0.95966   42006142
                3              66               1              HB  0.99453   420061C2
                4              66               1              HB  1.01003   42006242
                5              66               1              HB  0.91270   420062C2
                6              66               1              HB  0.95796   42006342
                7              66               1              HB  0.94205   420063C2
                8              66               1              HB  1.03430   42006442
                9              66               1              HB  0.91082   420064C2
               10              66               1              HB  0.93843   42006542
               11              66               1              HB  1.03399   420065C2
               12              66               1              HB  0.96422   42006642
               13              66               1              HB  1.04568   420066C2
               14              66               1              HB  1.03130   42006742
               15              66               1              HB  0.99286   420067C2
               15              66               2              HB  1.20731   4200A7C2
               16              66               1              HB  1.53599   42006842
               16              66               2              HB  1.04089   4200A842
                1              67               1              HB  1.10175   420060C3
                2              67               1              HB  1.00984   42006143
                3              67               1              HB  1.09040   420061C3
                4              67               1              HB  1.01519   42006243
                5              67               1              HB  0.93012   420062C3
                6              67               1              HB  0.90234   42006343
                7              67               1              HB  0.94087   420063C3
                8              67               1              HB  0.98440   42006443
                9              67               1              HB  0.90874   420064C3
               10              67               1              HB  0.93567   42006543
               11              67               1              HB  0.99023   420065C3
               12              67               1              HB  0.95377   42006643
               13              67               1              HB  1.07160   420066C3
               14              67               1              HB  1.02889   42006743
